Wall time,Step,Value
1630204165.1736834,45499,116.0
1630204207.0905695,45599,116.0
1630204282.1192682,45749,117.0
1630204302.8537142,45799,117.0
1630204404.6652944,46019,117.0
1630204546.5059776,46349,118.0
1630204756.0524776,46799,119.0
1630204800.7683666,46899,120.0
1630204932.5492933,47189,120.0
1630204939.2182972,47199,121.0
1630204981.4631977,47299,121.0
1630205024.6276093,47399,121.0
1630205109.2004786,47579,121.0
1630205183.690335,47749,122.0
1630205225.825733,47849,122.0
1630205322.95021,48049,123.0
1630205343.914521,48099,123.0
1630205364.9890168,48149,123.0
1630205525.12209,48499,124.0
1630205638.3920608,48749,124.0
1630205725.382287,48949,125.0
1630205746.234665,48999,125.0
1630205768.032678,49049,125.0
1630205946.909857,49449,126.0
1630206044.3172657,49649,127.0
1630206166.738581,49919,127.0
1630206329.3886018,50299,128.0
1630206361.4704015,50349,129.0
1630206764.436423,51249,131.0
1630206785.2668242,51299,131.0
1630206869.966358,51479,131.0
1630206881.2762568,51499,132.0
1630206902.305753,51549,132.0
1630207263.5717344,52349,134.0
1630207368.6233928,52599,134.0
1630207507.2510073,52899,135.0
1630207527.5811696,52949,135.0
1630207644.7938406,53199,136.0
1630207686.7776105,53299,136.0
1630207782.3724794,53499,137.0
1630207823.601527,53599,137.0
1630207865.7955775,53699,137.0
1630207941.5673604,53849,138.0
1630208302.5577707,54649,140.0
1630208344.8210661,54749,140.0
1630208386.9697542,54849,140.0
1630208547.1682622,55199,141.0
1630208609.7224352,55349,141.0
1630208726.697591,55599,142.0
1630208769.4367943,55699,142.0
1630208807.8652556,55769,142.0
1630208823.487075,55799,143.0
1630208886.609904,55949,143.0
1630208983.9538941,56159,143.0
1630209149.7897587,56549,144.0
1630209287.5730102,56849,145.0
1630209404.60563,57099,146.0
1630209489.2092867,57299,146.0
1630209510.9442706,57329,146.0
1630209521.9997103,57349,147.0
1630209542.759111,57399,147.0
1630209669.8536355,57699,147.0
1630209863.0855298,58109,148.0
1630209903.8978398,58199,149.0
1630209967.321937,58349,149.0
1630209988.550016,58399,149.0
1630210038.755401,58499,149.0
1630210168.1457236,58799,150.0
1630210215.34856,58889,150.0
1630210264.8962276,58999,151.0
1630210328.0689259,59149,151.0
1630210390.9175029,59279,151.0
1630210402.1061156,59299,152.0
1630210763.2467823,60099,154.0
1630210985.5901697,60599,155.0
1630211070.5994704,60799,155.0
1630211346.199375,61399,157.0
1630211367.2703888,61449,157.0
1630211431.1617568,61599,157.0
1630211448.4837317,61619,157.0
1630211484.9977324,61699,158.0
1630211505.7659976,61749,158.0
1630211907.9601073,62649,160.0
1630211928.8485794,62699,160.0
1630211950.6759849,62749,160.0
1630212046.0048246,62949,161.0
1630212109.3677752,63099,161.0
1630212184.6749601,63249,162.0
1630212226.8952217,63349,162.0
1630212312.0659316,63549,162.0
1630212386.4247997,63699,163.0
1630212470.7806726,63899,163.0
1630212788.9059064,64599,165.0
1630212969.3604589,64999,166.0
1630212989.9743912,65049,166.0
1630213209.0855892,65519,167.0
1630213371.9470806,65899,168.0
1630213384.7247088,65909,168.0
1630213446.4894176,66049,169.0
1630213489.409129,66149,169.0
1630213509.944127,66199,169.0
1630213667.8667517,66549,170.0
1630213690.1908886,66599,170.0
1630213828.3329997,66899,171.0
1630213869.8958976,66999,171.0
1630214029.34239,67349,172.0
1630214125.9703786,67549,173.0
1630214146.5597575,67599,173.0
1630214209.4755855,67749,173.0
1630214347.9262457,68049,174.0
1630214591.7624435,68599,175.0
1630214687.2102613,68799,176.0
1630214708.3275776,68849,176.0
1630214750.370692,68949,176.0
1630214771.3376143,68999,176.0
1630214889.0423877,69249,177.0
1630215026.4068496,69549,178.0
1630215047.3048391,69599,178.0
1630215226.9741845,69999,179.0
1630215311.0891838,70199,179.0
1630215344.6259708,70249,180.0
1630215428.6177535,70449,180.0
1630215609.125857,70849,181.0
1630215747.2806568,71149,182.0
1630215768.005589,71199,182.0
1630215864.445081,71399,183.0
1630216024.4614348,71759,183.0
1630216064.793853,71849,184.0
1630216200.2354198,72149,184.0
1630216224.1496446,72199,185.0
1630216308.7650127,72399,185.0
1630216403.7727594,72599,186.0
1630216467.3204193,72749,186.0
1630216509.2296221,72849,186.0
1630216562.669836,72949,187.0
1630216626.7815945,73099,187.0
1630216711.0666752,73299,187.0
1630216870.458422,73649,188.0
1630217030.9818594,73999,189.0
1630217072.3014674,74099,189.0
1630217105.945274,74149,190.0
1630217169.5253792,74299,190.0
